id,location_id,village_id,source_year,population,households,male_population,female_population,workers,main_workers,marginal_workers,literacy_rate,sc_population,other_available_indicators,source_id,confidence,data_status
DEMO-035262-2011,LOC-VIL-035262,VIL-PB-035262,2011,4324,854,2292,2032,1789,1159,630,50.21,2580,"{""agricultural_laborers"": 625, ""cultivators"": 383, ""household_industry_workers"": 13, ""other_workers"": 138, ""children_0_6"": 439, ""non_working_population"": 2535, ""marginal_cultivators"": 20, ""marginal_agri_labourers"": 562}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035263-2011,LOC-VIL-035263,VIL-PB-035263,2011,3977,754,2125,1852,1613,1462,151,53.26,2400,"{""agricultural_laborers"": 821, ""cultivators"": 381, ""household_industry_workers"": 3, ""other_workers"": 257, ""children_0_6"": 376, ""non_working_population"": 2364, ""marginal_cultivators"": 23, ""marginal_agri_labourers"": 100}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035264-2011,LOC-VIL-035264,VIL-PB-035264,2011,2649,531,1364,1285,924,867,57,53.49,1323,"{""agricultural_laborers"": 410, ""cultivators"": 361, ""household_industry_workers"": 21, ""other_workers"": 75, ""children_0_6"": 301, ""non_working_population"": 1725, ""marginal_cultivators"": 11, ""marginal_agri_labourers"": 15}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035265-2011,LOC-VIL-035265,VIL-PB-035265,2011,3256,591,1705,1551,1200,987,213,53.35,1725,"{""agricultural_laborers"": 526, ""cultivators"": 301, ""household_industry_workers"": 76, ""other_workers"": 84, ""children_0_6"": 379, ""non_working_population"": 2056, ""marginal_cultivators"": 21, ""marginal_agri_labourers"": 146}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035266-2011,LOC-VIL-035266,VIL-PB-035266,2011,1857,309,954,903,835,593,242,57.24,826,"{""agricultural_laborers"": 206, ""cultivators"": 297, ""household_industry_workers"": 34, ""other_workers"": 56, ""children_0_6"": 206, ""non_working_population"": 1022, ""marginal_cultivators"": 19, ""marginal_agri_labourers"": 188}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035267-2011,LOC-VIL-035267,VIL-PB-035267,2011,1749,327,905,844,600,512,88,57.63,950,"{""agricultural_laborers"": 183, ""cultivators"": 201, ""household_industry_workers"": 7, ""other_workers"": 121, ""children_0_6"": 218, ""non_working_population"": 1149, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 43}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035268-2011,LOC-VIL-035268,VIL-PB-035268,2011,2000,390,1031,969,615,382,233,54.9,1082,"{""agricultural_laborers"": 152, ""cultivators"": 185, ""household_industry_workers"": 7, ""other_workers"": 38, ""children_0_6"": 254, ""non_working_population"": 1385, ""marginal_cultivators"": 10, ""marginal_agri_labourers"": 215}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035269-2011,LOC-VIL-035269,VIL-PB-035269,2011,1316,258,676,640,455,404,51,62.84,545,"{""agricultural_laborers"": 144, ""cultivators"": 190, ""household_industry_workers"": 2, ""other_workers"": 68, ""children_0_6"": 125, ""non_working_population"": 861, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 14}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035270-2011,LOC-VIL-035270,VIL-PB-035270,2011,807,169,402,405,272,265,7,50.81,498,"{""agricultural_laborers"": 171, ""cultivators"": 43, ""household_industry_workers"": 3, ""other_workers"": 48, ""children_0_6"": 110, ""non_working_population"": 535, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 3}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035271-2011,LOC-VIL-035271,VIL-PB-035271,2011,5023,1032,2626,2397,1923,1514,409,49.43,2541,"{""agricultural_laborers"": 643, ""cultivators"": 515, ""household_industry_workers"": 17, ""other_workers"": 339, ""children_0_6"": 559, ""non_working_population"": 3100, ""marginal_cultivators"": 10, ""marginal_agri_labourers"": 304}",SRC-GOI-CENSUS-2011,0.99,official
